state,year,Suicide Rate,Homicide Rate
South Carolina,2011,8.74,5.51
South Carolina,2012,8.5,5.91
South Carolina,2013,9.24,5.31
South Carolina,2014,9.43,5.57
South Carolina,2015,9.17,7.55
South Carolina,2016,NR,NR
South Dakota,1991,8.13,NR
South Dakota,1992,6.2,NR
South Dakota,1993,11.71,1.75
South Dakota,1994,9.11,NR
South Dakota,1995,7.89,NR
South Dakota,1996,9.98,NR
South Dakota,1997,9.91,NR
South Dakota,1998,9.54,NR
South Dakota,1999,7.35,NR
South Dakota,2000,6.83,NR
South Dakota,2001,5.64,NR
South Dakota,2002,6.46,NR
South Dakota,2003,7.75,NR
South Dakota,2004,7.88,NR
South Dakota,2005,8.81,NR
South Dakota,2006,8.96,NR
South Dakota,2007,5.21,NR
South Dakota,2008,8.56,1.31
South Dakota,2009,7.54,1.28
South Dakota,2010,8.09,NR
South Dakota,2011,7.04,NR
South Dakota,2012,8.69,NR
South Dakota,2013,8.92,NR
South Dakota,2014,8.76,NR
South Dakota,2015,8.22,1.97
South Dakota,2016,NR,NR
Tennessee,1991,9.99,7.69
Tennessee,1992,9.57,7.58
Tennessee,1993,9.82,7.51
Tennessee,1994,9.62,7.03
Tennessee,1995,9.24,7.33
Tennessee,1996,9.08,6.54
Tennessee,1997,9.07,7.4
Tennessee,1998,9.15,6.1
Tennessee,1999,8.68,4.97
Tennessee,2000,8.75,5.93
Tennessee,2001,8.24,5.23
Tennessee,2002,8.86,5.49
Tennessee,2003,8.27,5.08
Tennessee,2004,8.75,4.82
Tennessee,2005,8.95,6.19
Tennessee,2006,9.14,5.45
Tennessee,2007,8.55,5.61
Tennessee,2008,9.36,5.48
Tennessee,2009,8.81,5.56
Tennessee,2010,8.93,4.67
Tennessee,2011,8.73,4.95
Tennessee,2012,9.14,5.16
Tennessee,2013,9.85,4.89
Tennessee,2014,8.62,4.37
Tennessee,2015,9.12,5.71
Tennessee,2016,NR,NR
Texas,1991,9.57,10.43
Texas,1992,9.21,9.16
Texas,1993,8.99,8.41
Texas,1994,9.37,8
Texas,1995,8.25,6.18
Texas,1996,8,5.15
Texas,1997,7.32,4.58
Texas,1998,7.2,4.48
Texas,1999,6.35,3.71
Texas,2000,6.43,3.69
Texas,2001,6.85,3.91
Texas,2002,6.45,3.93
Texas,2003,6.47,4.26
Texas,2004,6.21,3.99
Texas,2005,6.37,4.29
Texas,2006,5.85,4.28
Texas,2007,6.16,4.22
Texas,2008,6.44,4.04
Texas,2009,6.58,3.98
Texas,2010,6.97,3.57
Texas,2011,6.75,3.12
Texas,2012,6.83,3.39
Texas,2013,6.8,3.42
Texas,2014,6.71,3.57
Texas,2015,7.31,4.04
Texas,2016,NR,NR
Utah,1991,11.4,1.64
Utah,1992,9.39,1.55
Utah,1993,8.7,1.38
Utah,1994,9.64,2.04
Utah,1995,8.47,2.4
Utah,1996,9.05,1.5
Utah,1997,8.78,1.52
Utah,1998,10.13,1.34
Utah,1999,7.78,1.39
Utah,2000,9.06,0.71
Utah,2001,8.93,1.74
Utah,2002,8.25,1.17
Utah,2003,8.48,1.53
Utah,2004,8.4,1.28
Utah,2005,8.46,1.29
Utah,2006,8.35,1.17
Utah,2007,8.52,1.44
Utah,2008,7.94,0.98
Utah,2009,8.83,1.15
Utah,2010,10.65,1.05
Utah,2011,10.51,1.06
Utah,2012,10.95,1
Utah,2013,10.99,1.19
Utah,2014,10.31,1.27
Utah,2015,11.05,1.29
Utah,2016,NR,NR
Vermont,1991,11.3,2.35
Vermont,1992,10.05,2.05
Vermont,1993,12,1.66
Vermont,1994,6.59,NR
Vermont,1995,8.41,NR
Vermont,1996,7.64,NR
Vermont,1997,6.83,NR
Vermont,1998,9.37,NR
Vermont,1999,7.53,NR
Vermont,2000,7.5,NR
Vermont,2001,6.76,NR
Vermont,2002,8.5,NR
Vermont,2003,5.96,NR
Vermont,2004,8.64,NR
Vermont,2005,5.52,NR
Vermont,2006,6.4,NR
Vermont,2007,6.46,NR
Vermont,2008,6.6,NR
Vermont,2009,8.57,NR
Vermont,2010,9.56,NR
Vermont,2011,10.21,NR
Vermont,2012,7.82,NR
Vermont,2013,8.53,NR
Vermont,2014,8.5,NR
Vermont,2015,7.91,1.76
Vermont,2016,NR,NR
Virginia,1991,8.84,5.54
Virginia,1992,8.98,5.84
Virginia,1993,8.25,5.8
Virginia,1994,8.42,5.96
Virginia,1995,8.32,5.15
Virginia,1996,8.44,4.98
Virginia,1997,7.39,5.2
Virginia,1998,7.74,4.13
Virginia,1999,7.2,3.9
Virginia,2000,6.87,3.9
Virginia,2001,6.48,3.74
Virginia,2002,6.76,3.86
Virginia,2003,6.09,4.46
Virginia,2004,6.55,3.89
Virginia,2005,6.59,4.58
Virginia,2006,6.31,3.62
Virginia,2007,6.15,3.87
Virginia,2008,6.51,3.17
Virginia,2009,6.39,3.44
Virginia,2010,6.99,3.37
Virginia,2011,7.12,2.84
Virginia,2012,6.99,2.7
Virginia,2013,6.94,2.79
Virginia,2014,7.1,2.83
Virginia,2015,7.06,3.29
Virginia,2016,NR,NR
Washington,1991,8.15,2.39
Washington,1992,7.62,3.17
Washington,1993,8.21,3.05
Washington,1994,8.33,3.65
Washington,1995,8.4,3.09
Washington,1996,8.27,2.43
Washington,1997,7.56,2.74
Washington,1998,6.73,2.4
Washington,1999,7.82,1.82
Washington,2000,6.72,1.87
Washington,2001,6.57,1.74
Washington,2002,7.22,1.78
Washington,2003,7.11,1.77
Washington,2004,6.84,1.95
Washington,2005,6.16,2.19
Washington,2006,6.08,1.9
Washington,2007,6.23,1.91
Washington,2008,6.44,1.93
Washington,2009,6.85,1.76
Washington,2010,6.74,1.72
Washington,2011,6.93,1.3
Washington,2012,7.34,1.87
Washington,2013,6.53,1.64
Washington,2014,7.45,1.74
Washington,2015,7.22,2.32
Washington,2016,NR,NR
West Virginia,1991,9.64,4.62
West Virginia,1992,9.82,5.25
West Virginia,1993,11.25,5.28
West Virginia,1994,9.73,4.7
West Virginia,1995,11.5,3.75
West Virginia,1996,10.53,2.97
West Virginia,1997,9.35,3.58
West Virginia,1998,8.47,3.27
West Virginia,1999,8.74,3.48
West Virginia,2000,9.2,3.11
West Virginia,2001,10.09,2.09
West Virginia,2002,9.95,3.73
West Virginia,2003,9.87,3.4
West Virginia,2004,10.2,2.92
West Virginia,2005,9.56,3.32
West Virginia,2006,9.2,3.2
West Virginia,2007,10.51,2.68
West Virginia,2008,8.82,2.15
West Virginia,2009,9.14,3.25
West Virginia,2010,10.64,2.72
West Virginia,2011,10.03,3.44
West Virginia,2012,10.03,3.98
West Virginia,2013,11.32,2.34
West Virginia,2014,10.59,3.35
West Virginia,2015,10.39,2.89
West Virginia,2016,NR,NR
Wisconsin,1991,6.74,2.75
Wisconsin,1992,6.11,2.91
Wisconsin,1993,6.87,2.74
Wisconsin,1994,6.68,2.76
Wisconsin,1995,6.61,2.76
Wisconsin,1996,6.44,2.63
Wisconsin,1997,5.27,2.35
Wisconsin,1998,5.87,2.13
Wisconsin,1999,5.56,2.37
Wisconsin,2000,5.63,2.07
Wisconsin,2001,5.79,2.47
Wisconsin,2002,5.55,2.25
Wisconsin,2003,5.54,2.56
Wisconsin,2004,5.47,1.68
Wisconsin,2005,5.36,2.88
Wisconsin,2006,5.32,1.97
Wisconsin,2007,5.87,2.35
Wisconsin,2008,5.91,1.5
Wisconsin,2009,5.86,1.9
Wisconsin,2010,6.35,1.89
Wisconsin,2011,5.97,1.6
Wisconsin,2012,5.79,2.34
Wisconsin,2013,7.26,2.07
Wisconsin,2014,5.78,2.16
Wisconsin,2015,6.9,3.18
Wisconsin,2016,NR,NR
Wyoming,1991,15.26,2.27
Wyoming,1992,14.57,NR
Wyoming,1993,17.1,2.38
Wyoming,1994,16.1,3.23
Wyoming,1995,12.64,NR
Wyoming,1996,13.67,2.69
Wyoming,1997,14.75,2.22
Wyoming,1998,11.78,NR
Wyoming,1999,12.95,NR
Wyoming,2000,10.09,NR
Wyoming,2001,12.01,NR
Wyoming,2002,16.26,NR
Wyoming,2003,14.84,NR
Wyoming,2004,9.59,NR
Wyoming,2005,10.61,NR
Wyoming,2006,13.26,NR
Wyoming,2007,12.77,NR
Wyoming,2008,15.81,NR
Wyoming,2009,14.92,1.87
Wyoming,2010,13.76,NR
Wyoming,2011,14.57,2.17
Wyoming,2012,17.4,NR
Wyoming,2013,14.19,NR
Wyoming,2014,13.73,NR
Wyoming,2015,16.58,2.16
Wyoming,2016,NR,NR
